id,nom,insee,adresse,emplacements,statut,latitude,longitude
75109-T-314,Maubeuge / Rochechouart,75109,35 RUE DE MAUBEUGE,4.0,en service,48.87856097086882,"2.3454400979988588"
75110-T-330,Saint-Denis Faubourg / Hopital Fernand Widal,75110,200 RUE DU FAUBOURG SAINT-DENIS,3.0,en service,48.88169779706857,"2.3584805953600667"
75108-T-300,Champs Elysées / Arsène Houssaye,75108,152 AVENUE DES CHAMPS ELYSEES,3.0,en service,48.873259492463745,"2.2978104913619246"
75108-T-301,Champs Elysées / Galilée,75108,115 AVENUE DES CHAMPS ELYSEES,17.0,en service,48.87225191870897,"2.2986948904274147"
75106-T-244,Raspail / Montparnasse,75106,93 BOULEVARD RASPAIL,13.0,en service,48.852031896709946,"2.3393430509583952"
75108-T-260,George V /Champs/Elysées,75108,48 AVENUE GEORGE V,6.0,en service,48.87134237554705,"2.3011669313283205"
75108-T-278,Saint-Lazare / Cour de Rome,75108,108 RUE SAINT-LAZARE,8.0,en service,48.87556230737658,"2.3253665419633"
75110-T-338,Louis Blanc,75110,34 RUE LOUIS BLANC,3.0,en service,48.88126632356964,"2.365024093673534"
75111-T-339,République / Oberkampf,75111,47 AVENUE DE LA REPUBLIQUE,5.0,en service,48.86507515505613,"2.3763398690880986"
75112-T-354,Hôpital Armand Trousseau,75112,26 AVENUE DU DOCTEUR ARNOLD NETTER,8.0,en service,48.84274546282557,"2.4053563039629577"
75119-T-475,Serurier / Hôpital Robert Debré,75119,44 BOULEVARD SERURIER,3.0,en service,48.87851777126525,"2.403227022829344"
75114-T-909,Gare Montparnasse SNCF,75114,10 PARKING MAINE,,en service,48.839224244699956,"2.320335661745405"
75111-T-042,Philippe Auguste,75111,97 AVENUE PHILIPPE-AUGUSTE,5.0,en service,48.85604583353078,"2.3909233512465304"
75118-T-098,Porte de Clignancourt,75118,39 BOULEVARD NEY,9.0,en service,48.89773730061037,"2.343503358726183"
75117-T-088,Porte de Champeret,75117,5 BOULEVARD GOUVION-SAINT-CYR,2.0,en service,48.885480140326884,"2.291562383689934"
75113-T-054,Glaciere,75113,127 BOULEVARD AUGUSTE BLANQUI,9.0,en service,48.830761720076445,"2.343607389434755"
75116-T-080,Passy Costa Rica,75116,10 BOULEVARD DELESSERT,13.0,en service,48.8588306014011,"2.2850334544927033"
75115-T-392,Porte de la Plaine,75115,94 AVENUE DE LA PORTE DE LA PLAINE,9.0,en service,48.82987775307179,"2.2925602610435267"
75113-T-118,Tolbiac Bibliothèque Nationale,75113,36 RUE NEUVE TOLBIAC,9.0,en service,48.83096623686189,"2.3770509966070135"
75116-T-433,Place de Varsovie,75116,3 PLACE DE VARSOVIE,4.0,en service,48.86032182445568,"2.2902026450155293"
75117-T-440,Saint-Ouen / La Fourche,75117,5 AVENUE DE SAINT-OUEN,4.0,en service,48.888115351046004,"2.325720485918762"
75115-T-403,Vouillé,75115,5 RUE DE VOUILLE,2.0,en service,48.83533565455608,"2.3033967626685508"
