id;nom;insee;adresse;emplacements;no_appel;info;statut;geo_shape;geopoint;geopoint_datagouv
75117-T-455;Brochant;75117;30 RUE BROCHANT;5;;;en service;"{""coordinates"": [2.3200285691083358, 48.89040773858004], ""type"": ""Point""}";48.89040773858004, 2.3200285691083358;2.3200285691083358, 48.89040773858004
75117-T-459;Courcelles / Parc Monceau;75117;22 BOULEVARD DE COURCELLES;4;;;en service;"{""coordinates"": [2.3132131658632, 48.881102075543616], ""type"": ""Point""}";48.881102075543616, 2.3132131658632;2.3132131658632, 48.881102075543616
75116-T-435;Place de l'Uruguay;75116;68 RUE GALILEE;3;;;en service;"{""coordinates"": [2.2958748955037387, 48.86966963103177], ""type"": ""Point""}";48.86966963103177, 2.2958748955037387;2.2958748955037387, 48.86966963103177
75116-T-075;Radio France - pont de Grenelle;75116;PLACE CLÉMENT ADER;7;0145245617;;en service;"{""coordinates"": [2.278459497701374, 48.85158319384556], ""type"": ""Point""}";48.85158319384556, 2.278459497701374;2.278459497701374, 48.85158319384556
75116-T-078;Place Victor Hugo;75116;1 PLACE VICTOR HUGO;7;0145530011;;en service;"{""coordinates"": [2.2858315135364795, 48.869790907141535], ""type"": ""Point""}";48.869790907141535, 2.2858315135364795;2.2858315135364795, 48.869790907141535
75103-T-039;République;75103;9 PLACE DE LA RÉPUBLIQUE;7;0142714204;;en service;"{""coordinates"": [2.364015863747732, 48.866661538522884], ""type"": ""Point""}";48.866661538522884, 2.364015863747732;2.364015863747732, 48.866661538522884
75106-T-019;Sèvres Babylone;75106;27 RUE DU CHERCHE MIDI;6;0145488475;;en service;"{""coordinates"": [2.327248174611378, 48.85057184188199], ""type"": ""Point""}";48.85057184188199, 2.327248174611378;2.327248174611378, 48.85057184188199
75102-T-006;Strasbourg Saint-Denis;75102;252 BOULEVARD SAINT DENIS;7;;;en service;"{""coordinates"": [2.3525919074128088, 48.869289648727026], ""type"": ""Point""}";48.869289648727026, 2.3525919074128088;2.3525919074128088, 48.869289648727026
75115-T-389;Jean Rey /Hotel Mercure;75115;14 RUE JEAN REY;11;;;en service;"{""coordinates"": [2.291606069616583, 48.85531353917177], ""type"": ""Point""}";48.85531353917177, 2.291606069616583;2.291606069616583, 48.85531353917177
75115-T-391;Motte-Picquet;75115;45 AVENUE DE LA MOTTE-PICQUET;4;;;en service;"{""coordinates"": [2.300664477099725, 48.8507334073687], ""type"": ""Point""}";48.8507334073687, 2.300664477099725;2.300664477099725, 48.8507334073687
75115-T-996;Grenelle - La Motte Picquet;75115;125 boulevard de grenelle;5;;;en service;"{""coordinates"": [2.2994951836160995, 48.84877232854187], ""type"": ""Point""}";48.84877232854187, 2.2994951836160995;2.2994951836160995, 48.84877232854187
75107-T-024;Gare des Invalides;75107;1 RUE ROBERT ESNAULT-PELTERIE;9;;;en service;"{""coordinates"": [2.31522565209789, 48.861957278944004], ""type"": ""Point""}";48.861957278944004, 2.31522565209789;2.31522565209789, 48.861957278944004
75115-T-393;Suffren;75115;94 AVENUE DE SUFFREN;6;;;en service;"{""coordinates"": [2.301671853290245, 48.8505193588041], ""type"": ""Point""}";48.8505193588041, 2.301671853290245;2.301671853290245, 48.8505193588041
75108-T-290;Vignon;75108;38 RUE VIGNON;3;;;en service;"{""coordinates"": [2.326581043283473, 48.87264171872858], ""type"": ""Point""}";48.87264171872858, 2.326581043283473;2.326581043283473, 48.87264171872858
75116-T-415;Victor Hugo /Etoile;75116;1 AVENUE VICTOR HUGO;11;;;en service;"{""coordinates"": [2.293004505030916, 48.87278210967942], ""type"": ""Point""}";48.87278210967942, 2.293004505030916;2.293004505030916, 48.87278210967942
75103-T-226;Temple;75103;31 BOULEVARD DU TEMPLE;5;;;en service;"{""coordinates"": [2.365030055410579, 48.86549099288855], ""type"": ""Point""}";48.86549099288855, 2.365030055410579;2.365030055410579, 48.86549099288855
75101-T-202;Castiglione pair;75101;6 RUE DE CASTIGLIONE;4;;;en service;"{""coordinates"": [2.327880698510136, 48.86564573279957], ""type"": ""Point""}";48.86564573279957, 2.327880698510136;2.327880698510136, 48.86564573279957
75115-T-405;Cotentin;75115;22 RUE DU COTENTIN;2;;;en service;"{""coordinates"": [2.3148124641368772, 48.838737936759], ""type"": ""Point""}";48.838737936759, 2.3148124641368772;2.3148124641368772, 48.838737936759
75106-T-245;Place Saint-Sulpice;75106;104 PLACE SAINT-SULPICE;6;;;en service;"{""coordinates"": [2.3426789722142547, 48.85166321384191], ""type"": ""Point""}";48.85166321384191, 2.3426789722142547;2.3426789722142547, 48.85166321384191
75106-T-243;Saint-Germain/Ancienne comédie;75106;134 BOULEVARD SAINT-GERMAIN;10;01 43 26 00 00;;en service;"{""coordinates"": [2.3386232232541646, 48.85259735527755], ""type"": ""Point""}";48.85259735527755, 2.3386232232541646;2.3386232232541646, 48.85259735527755
75111-T-349;Amelot;75111;108 RUE AMELOT;5;;;en service;"{""coordinates"": [2.3673098712778593, 48.86300164224682], ""type"": ""Point""}";48.86300164224682, 2.3673098712778593;2.3673098712778593, 48.86300164224682
75111-T-352;Hôpital Saint-Antoine;75111;188 RUE DU FAUBOURG SAINT-ANTOINE;5;;;en service;"{""coordinates"": [2.3835190535230018, 48.85024875417021], ""type"": ""Point""}";48.85024875417021, 2.3835190535230018;2.3835190535230018, 48.85024875417021
75113-T-367;Vincent Auriol / Chevaleret;75113;83 BOULEVARD VINCENT AURIOL;3;;;en service;"{""coordinates"": [2.3671872459975347, 48.83427166040812], ""type"": ""Point""}";48.83427166040812, 2.3671872459975347;2.3671872459975347, 48.83427166040812
75114-T-374;Maine / Place Vicor et Hélène Basch;75114;228 AVENUE DU MAINE;3;;;en service;"{""coordinates"": [2.326456705842373, 48.82842076916509], ""type"": ""Point""}";48.82842076916509, 2.326456705842373;2.326456705842373, 48.82842076916509
75117-T-450;Malesherbes / Ampère;75117;155 BOULEVARD MALESHERBES;8;;;en service;"{""coordinates"": [2.306429413803622, 48.88563531491577], ""type"": ""Point""}";48.88563531491577, 2.306429413803622;2.306429413803622, 48.88563531491577
75115-T-396;Place Charles Michels;75115;65 Avenue Emile Zola;4;;;en service;"{""coordinates"": [2.285005895609596, 48.84639238206003], ""type"": ""Point""}";48.84639238206003, 2.285005895609596;2.285005895609596, 48.84639238206003
75119-T-478;Manin/Fondation ophtalmologique Rothschild;75119;25 RUE MANIN;5;;;en service;"{""coordinates"": [2.3782005147045484, 48.87791211866622], ""type"": ""Point""}";48.87791211866622, 2.3782005147045484;2.3782005147045484, 48.87791211866622
75114-T-381;Rue des Plantes;75114;66 RUE DES PLANTES;5;;;en service;"{""coordinates"": [2.3200094164985883, 48.82674614480345], ""type"": ""Point""}";48.82674614480345, 2.3200094164985883;2.3200094164985883, 48.82674614480345
